source_path,target_path,action,status_code,confidence,reason
/blog-building-the-future-how-kingdom,/blog/building-the-future-how-kingdom,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-transform-your-home-innovative-remodeling,/blog/transform-your-home-innovative-remodeling,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-how-to-choose-the-right,/blog/how-to-choose-the-right,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-transform-your-space-tips-for,/blog/transform-your-space-tips-for,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-efficient-remodeling-time-saving-tips-and,/blog/efficient-remodeling-time-saving-tips-and,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-the-ultimate-guide-to-choosing,/blog/the-ultimate-guide-to-choosing,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-open-concept-living-redefining-space-with,/blog/open-concept-living-redefining-space-with,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-maximize-your-homes-potential-top,/blog/maximize-your-homes-potential-top,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-luxury-on-a-budget-affordable,/blog/luxury-on-a-budget-affordable,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-open-floor-plans-how-kingdom,/blog/open-floor-plans-how-kingdom,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-experience-luxury-premium-remodeling-services,/blog/experience-luxury-premium-remodeling-services,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-eco-friendly-makeovers-kingdom-constructions-guide,/blog/eco-friendly-makeovers-kingdom-constructions-guide,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-the-art-of-renovation-crafting,/blog/the-art-of-renovation-crafting,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-maximize-your-space-small-home,/blog/maximize-your-space-small-home,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-home-office-excellence-designing-functional,/blog/home-office-excellence-designing-functional,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-crafting-your-dream-space-a,/blog/crafting-your-dream-space-a,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-bespoke-solutions-how-kingdom-construction,/blog/bespoke-solutions-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-enhancing-curb-appeal-innovative-exterior,/blog/enhancing-curb-appeal-innovative-exterior,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-elevating-interiors-kingdom-constructions-signature,/blog/elevating-interiors-kingdom-constructions-signature,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-crafting-community-spaces-kingdom-constructions,/blog/crafting-community-spaces-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-reimagining-home-layouts-kingdom-constructions,/blog/reimagining-home-layouts-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-crafting-modern-havens-kingdom-constructions,/blog/crafting-modern-havens-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-smart-renovation-trends-kingdom-constructions,/blog/smart-renovation-trends-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-innovative-spaces-kingdom-constructions-guide,/blog/innovative-spaces-kingdom-constructions-guide,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-holistic-home-design-creating-cohesive,/blog/holistic-home-design-creating-cohesive,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-artful-exteriors-refined-aesthetics-with,/blog/artful-exteriors-refined-aesthetics-with,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-timeless-elegance-designing-classic-interiors,/blog/timeless-elegance-designing-classic-interiors,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-innovative-basement-transformations-unlocking-hidden,/blog/innovative-basement-transformations-unlocking-hidden,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-innovative-garage-transformations-unleashing-utility,/blog/innovative-garage-transformations-unleashing-utility,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-revamp-and-revitalize-expert-strategies,/blog/revamp-and-revitalize-expert-strategies,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-next-level-comfort-kingdom-constructions-guide,/blog/next-level-comfort-kingdom-constructions-guide,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-sophisticated-redesigns-embracing-customization-with,/blog/sophisticated-redesigns-embracing-customization-with,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-mastering-the-art-of-home,/blog/mastering-the-art-of-home,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-the-art-of-fine-finishes,/blog/the-art-of-fine-finishes,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-luxury-redefined-how-kingdom-construction,/blog/luxury-redefined-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-stylish-and-sustainable-kingdom-constructions,/blog/stylish-and-sustainable-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-adaptive-home-makeovers-kingdom-constructions,/blog/adaptive-home-makeovers-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-discovering-spaces-kingdom-constructions-philosophy,/blog/discovering-spaces-kingdom-constructions-philosophy,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-redefining-outdoor-living-kingdom-constructions,/blog/redefining-outdoor-living-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-modern-minimalism-kingdom-constructions-expert,/blog/modern-minimalism-kingdom-constructions-expert,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-enhancing-functional-spaces-kingdom-constructions,/blog/enhancing-functional-spaces-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-crafting-the-ultimate-entertaining-area,/blog/crafting-the-ultimate-entertaining-area,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-revolutionizing-home-comfort-energy-efficient-upgrades,/blog/revolutionizing-home-comfort-energy-efficient-upgrades,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-luxury-outdoor-living-creating-exceptional,/blog/luxury-outdoor-living-creating-exceptional,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-design-with-purpose-how-kingdom,/blog/design-with-purpose-how-kingdom,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-a-seamless-blend-kingdom-constructions,/blog/a-seamless-blend-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-maximizing-small-spaces-kingdom-constructions,/blog/maximizing-small-spaces-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-seamless-transitions-kingdom-constructions-expertise,/blog/seamless-transitions-kingdom-constructions-expertise,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-inspired-renovations-how-kingdom-construction,/blog/inspired-renovations-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-visionary-home-transformations-kingdom-constructions,/blog/visionary-home-transformations-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-transformative-touches-revitalizing-home-interiors,/blog/transformative-touches-revitalizing-home-interiors,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/contact,/contact,retain,,high,Primary contact route retained
/success,/success,retain,,medium,Utility thank-you route retained (set noindex in Webflow)
/contact-2-step,/contact,redirect,301,high,Consolidate multi-step contact variant to canonical contact page
